id,title,description,availability,condition,price,link,image_link,brand
"15dbe10e-7e96-486a-a5db-d487d29bef7f","Regatas","Regatas","out of stock","new","29.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","","ANELT Express"
"283cd3fe-f504-48b2-89aa-8aecb3500d81","Moletom Careca","Moletom Careca","out of stock","new","59.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1782941293259-s8bime3ixgq.png","ANELT Express"
"2a77c082-c085-4e7f-aab5-7dafc46abcff","Camisa do Brasil","Camisa do Brasil","out of stock","new","115.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1782940680752-x8lucniehu.png","ANELT Express"
"2c9b8292-4edb-48f2-8ea6-2adfeb9bfc66","Camisa Feminina Simples","Camisa Feminina Simples","out of stock","new","29.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1782940714934-ycseohncyl.png","ANELT Express"
"2e88089f-ded5-4f20-9c22-386686981805","Calça Pelucia","Calça Pelucia","out of stock","new","139.89 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1782936382555-icbkd87tgm.png","ANELT Express"
"2eeb302b-f4ff-419d-8b72-ed626570d295","Mocassim","Mocassim","out of stock","new","79.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1783015011460-uorfhrlv8xr.jpg","ANELT Express"
"3aa05fe2-a6e6-4f9c-8241-1a9ae45e3407","Over feminina","Over feminina","out of stock","new","59.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1782940923331-0v1i045zspa9.png","ANELT Express"
"55f66fcf-667e-4de1-aaf1-52b60e28070f","Camisa Algodão","Camisa Algodão","out of stock","new","29.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1782940616265-e7z9ry6zdjw.jpg","ANELT Express"
"67415bda-e515-4d32-b4bb-c1332298590f","Mochila Executiva","Mochila Executiva","in stock","new","109.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","","ANELT Express"
"69d47784-f741-496b-9dea-ce0e1ffc3025","Vestido Tamanho Unico","Vestido Tamanho Unico","in stock","new","48.89 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1782941239860-cc7kaxxt0u6.png","ANELT Express"
"768c8d9b-3173-4dab-8600-7624b8a18ee7","Bota Feminina Tratorada Siroco","Bota Feminina Tratorada Siroco","out of stock","new","138.47 BRL","https://thierrydeivid.github.io/anelt-catalogo","","ANELT Express"
"82c39351-684a-4114-8d1f-b039b0f048fc","Bota Sintetico","Bota Sintetico","out of stock","new","69.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1783014931332-v8botzyxnfg.jpg","ANELT Express"
"922b15d8-bab4-4533-b04d-dbc3a0c69b64","Sapato Feminino Anabela","Sapato Feminino Anabela","out of stock","new","129.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1783015122636-ux56y0rni2d.jpg","ANELT Express"
"94b61d49-2faf-46e3-930b-8dd910146a25","Camisa do Vasco","Camisa do Vasco","out of stock","new","289.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","","ANELT Express"
"95a879e1-e146-40d1-a51f-ecb4220ba6fb","Mochila Basica","Mochila Basica","in stock","new","39.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1782940796894-ij95ktjfgn.png","ANELT Express"
"a0342d65-3c99-4c7b-9338-736884f3caab","Moletom Canguru","Moletom Canguru","out of stock","new","69.89 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1782940856326-4tww0mlu3vs.jpg","ANELT Express"
"a9a7d0e6-3e9c-4c2c-98a3-0668fef3e819","Bota Feminina","Bota Feminina","in stock","new","92.31 BRL","https://thierrydeivid.github.io/anelt-catalogo","","ANELT Express"
"b38507e5-17f9-42a2-8b64-9f8824151050","Over Side Plus","Over Side Plus","out of stock","new","74.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1782941058516-1ofqqjxlkns.png","ANELT Express"
"bb02f872-b334-46e6-923a-8e89e1fd081e","Moletom Ziper","Moletom Ziper","out of stock","new","79.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1782941322764-97qjp18twai.jpg","ANELT Express"
"c0479f7d-5a1f-4a7e-8a18-bc909c3adfad","Bota Feminina Tratorada","Bota Feminina Tratorada","out of stock","new","99.90 BRL","https://thierrydeivid.github.io/anelt-catalogo","https://hwklqpxzlpuhfskqpucr.supabase.co/storage/v1/object/public/product-photos/c08f9fc5-eb80-4e4c-9ee4-2fbadbd7af49/1783014813037-jxt2rmyhpfc.jpg","ANELT Express"
